StationID,Trendx100,Latitude,Longitude,SiteName
IA7726,3.33487793346,42.88,-95.15,SIOUX-RAPIDS
IA0753,4.87849244613,40.75,-92.43,BLOOMFIELD
IA0112,-1.22999125521,41.03,-92.8,ALBIA
IA1063,4.66789229776,40.78,-91.12,Burlington
IA5086,2.1172584453,42.47,-91.45,MANCHESTER-2
IA5837,2.79730374975,41.4,-91.07,MUSCATINE
IA8806,0.335662513367,42.47,-93.8,WEBSTER-CITY
IA0200,3.91059933483,42.03,-93.8,AMES-8-WSW
IA5230,0.899399218705,43.15,-93.2,MASON-CITY
IA1962,2.35075899945,41.04,-94.39,Creston
IA7312,-3.1203404823,42.43,-95.0,SAC-CITY
IA9067,1.03233805683,41.67,-92.02,WILLIAMSBURG
IA8296,1.03117354356,41.98,-92.58,TOLEDO
IA8755,0.75022128029,43.27,-91.48,WAUKON
IA4049,3.83361487442,42.48,-91.82,INDEPENDENCE-2-W
IA1277,3.60101607038,42.07,-95.82,CASTANA-EXP-FARM
IA4585,5.37782959021,40.62,-93.95,Lamoni
IA4228,1.62242557479,42.02,-94.38,JEFFERSON
IA0213,2.05072014397,42.12,-91.3,ANAMOSA-1-WNW
IA4502,2.70092306589,41.32,-93.13,KNOXVILLE
IA6327,-0.806479891213,41.32,-92.65,OSKALOOSA
IA3007,7.10764511569,40.61,-91.33,FORT-MADISON
IA2789,4.11462651586,41.03,-91.95,FAIRFIELD
IA3718,-1.30819914658,43.0,-96.48,HAWARDEN
IA5131,-0.851507097982,42.07,-90.7,MAQUOKETA-2-W
IA0364,3.54431871075,41.42,-95.0,ATLANTIC-1-NE
IA6800,2.61431330301,43.08,-95.63,PRIMGHAR
IA7979,5.1194293688,42.63,-95.18,STORM-LAKE-2-E
IA3980,2.50608057105,42.68,-94.2,HUMBOLDT-2
IA0133,1.52420613729,43.07,-94.3,ALGONA
IA4038,3.57428430108,42.35,-95.48,IDA-GROVE
IA6200,3.50213510728,42.65,-91.92,OELWEIN-2-S
IA2203,4.19019447031,41.53,-93.65,Des Moines Airport
IA1635,3.66976029278,41.8,-90.27,CLINTON-1
IA3487,2.80972719449,42.37,-92.78,GRUNDY-CENTER
IA1354,2.89022499597,40.72,-92.87,CENTERVILLE
IA4101,9.30090284507,41.65,-91.53,IOWA-CITY
IA8339,-0.450977110006,42.82,-92.25,TRIPOLI-4-N
IA2724,-0.464537822109,43.42,-94.83,ESTHERVILLE-2-N
IA2864,-0.360108747258,42.83,-91.8,FAYETTE
IA2689,3.70173591503,43.1,-94.68,EMMETSBURG
IA7613,0.252491670554,40.78,-95.35,SHENANDOAH-1-NE
IA3438,4.74342563839,41.3,-94.47,GREENFIELD
IA5769,0.916901685036,40.7,-94.25,MOUNT-AYR
IA5493,6.0716361776,43.38,-95.18,MILFORD-4-NW
