Stationid,trendx100,latitude,longitude,name
IA1394,-4.23102015292,41.0,-93.32,CHARITON
IA4142,-1.15428730146,42.53,-93.27,IOWA-FALLS
IA6566,-0.842512135431,41.83,-94.12,PERRY
IA3290,0.339682986533,41.0,-95.77,GLENWOOD
IA8706,3.36570730871,42.55,-92.4,WATERLOO
IA7678,-2.48816071782,41.33,-92.2,SIGOURNEY
IA7161,-1.70487159961,42.4,-94.62,ROCKWELL-CITY
IA8266,-5.9427559825,41.78,-91.12,TIPTON
IA1731,-1.18716590181,41.25,-91.37,COLUMBUS-JCT-2-SSW
IA0241,2.11913416639,41.68,-93.6,ANKENY-3-S
IA1533,-3.19492333717,40.72,-95.03,CLARINDA
IA4705,0.728779131955,41.57,-90.4,Le Claire L&D 14
IA6316,-1.67292828871,41.02,-93.75,OSCEOLA-3-WSW
IA7664,-5.87957987777,43.45,-95.72,SIBLEY-5-NNE
IA7708,2.15334727915,42.4,-96.38,SIOUX-CITY-WSO-AP
IA5992,-1.98269324374,41.7,-93.05,NEWTON
IA0385,-1.77117384646,41.72,-94.93,AUDUBON
IA2364,3.28195977357,42.53,-90.65,DUBUQUE-LOCK-AND-DAM
IA7669,-4.13096697606,40.75,-95.65,SIDNEY
IA2171,0.0441578959137,42.03,-95.33,DENISON
IA6243,1.43263193916,42.02,-96.1,ONAWA
IA1319,2.70132454014,42.03,-91.58,CEDAR-RAPIDS-1
IA4063,-2.81968233877,41.37,-93.55,INDIANOLA-2-SSW
IA4389,2.19714706401,40.72,-91.97,KEOSAUQUA
IA1541,-0.29668157082,42.73,-93.75,CLARION
IA1257,-1.36054140721,42.3,-91.02,CASCADE
IA4381,-0.130176260574,40.38,-91.37,KEOKUK LOCK DAM 19
IA0608,0.0358770576485,42.27,-90.42,BELLEVUE-L-AND-D-12
IA6389,1.46441213276,41.11,-92.45,Ottumwa
IA0600,-1.8124874995,41.88,-92.27,BELLE-PLAINE
IA6151,-1.86835793933,41.32,-95.38,OAKLAND-2-E
IA3473,-1.92012409604,41.72,-92.73,GRINNELL-3-SW
IA6305,1.33741666397,43.28,-92.8,OSAGE
IA5198,-0.909963571321,42.07,-92.93,MARSHALLTOWN
IA1954,0.610527707506,43.38,-92.1,CRESCO-1-NE
IA7147,0.406888902226,43.43,-96.17,ROCK-RAPIDS
IA8688,-1.18220509934,41.28,-91.68,WASHINGTON
IA0807,-0.829449550217,42.04,-93.89,Boone
IA3517,1.31552522672,42.78,-91.1,GUTTENBERG-L-AND-D-10
IA6719,-1.59269332714,42.7,-94.67,POCAHONTAS
IA0576,-4.81486835722,40.68,-94.72,BEDFORD-1-NNW
