BOX,6727,8741,76.959
GSP,25637,30846,83.113
EPZ,1571,2699,58.207
FWD,19688,23257,84.654
BGM,8099,10821,74.845
BOI,574,1077,53.296
PAH,14001,17854,78.419
CTP,9722,12419,78.283
LIX,12156,17012,71.455
OAX,10410,14233,73.140
PIH,1412,2299,61.418
FGZ,556,1783,31.183
RIW,949,2011,47.190
RAH,19817,23060,85.937
TAE,11751,16194,72.564
OHX,14688,19575,75.034
MQT,2946,3772,78.102
LBF,8325,14152,58.826
FGF,3923,6553,59.866
IWX,5892,7683,76.689
HS ,13,13,100.000
MRX,20685,23219,89.087
JAX,9386,14594,64.314
REV,302,909,33.223
PHI,11321,16903,66.976
BOU,3722,7182,51.824
JAN,35392,43388,81.571
CHS,13698,19326,70.879
APX,3299,4464,73.902
PQR,246,459,53.595
MAF,4062,8476,47.924
GYX,4553,7294,62.421
FFC,25847,30260,85.416
LKN,228,769,29.649
CRP,2949,5779,51.030
GJT,515,912,56.469
GUM,0,30,0.000
TSA,16554,22297,74.243
DTX,5619,7312,76.846
DMX,9667,13080,73.907
AMA,3402,6635,51.274
HUN,11568,14629,79.076
MFL,4110,6522,63.017
MFR,236,563,41.918
BMX,19271,25380,75.930
BUF,3911,5987,65.325
LSX,15582,20078,77.607
AFG,14,63,22.222
GRR,3377,4162,81.139
SHV,16918,23175,73.001
DLH,4214,8070,52.218
PBZ,8754,11206,78.119
EWX,2973,5655,52.573
GRB,4178,5135,81.363
MHX,5374,8988,59.791
DDC,5229,9308,56.177
AFC,3,25,12.000
RNK,15875,21087,75.283
BTV,2925,4349,67.257
OKX,8826,9792,90.135
TBW,3569,5678,62.857
LZK,18943,29041,65.228
IND,8931,12394,72.059
MOB,11671,17180,67.934
MPX,8828,11843,74.542
DVN,6033,7831,77.040
FSD,7354,10737,68.492
ILN,13270,16737,79.285
AKQ,12267,16805,72.996
ILM,6599,8207,80.407
GLD,6464,10619,60.872
EKA,111,202,54.950
LUB,4911,8151,60.250
HFO,29,98,29.592
HNX,171,468,36.538
ILX,9019,11544,78.127
SEW,86,125,68.800
GGW,3779,6122,61.728
OUN,20386,30159,67.595
JSJ,249,249,100.000
JKL,11350,14520,78.168
SLC,1438,2415,59.545
PSR,1185,2725,43.486
UNR,7871,13473,58.421
CLE,12275,15010,81.779
PDT,868,1274,68.132
SJT,5041,8402,59.998
VEF,632,1997,31.647
TFX,2006,3847,52.145
MEG,20741,27807,74.589
PUB,3047,5694,53.512
BRO,2253,3672,61.356
LMK,18513,22733,81.437
RLX,10232,12443,82.231
KEY,254,605,41.983
ALY,8052,9912,81.235
TWC,1314,3057,42.983
LWX,12897,17822,72.366
CAR,2090,3463,60.352
TOP,6448,9221,69.927
MSO,1312,1850,70.919
LOT,5600,7552,74.153
BYZ,3224,5585,57.726
LOX,371,505,73.465
CAE,13517,15937,84.815
MKX,4030,5342,75.440
CYS,3069,6171,49.733
SGX,370,698,53.009
EAX,8252,11987,68.841
BIS,8090,13248,61.066
SGF,18040,22317,80.835
MLB,5274,7965,66.215
HGX,4708,9180,51.285
MTR,93,128,72.656
STO,229,495,46.263
ABQ,2664,6467,41.194
ABR,5008,8120,61.675
ICT,9544,12949,73.705
ARX,5224,6237,83.758
OTX,951,1340,70.970
GID,8373,12394,67.557
LCH,6276,9220,68.069
