SADI4,2002-02-12 08:37:00-06,1519972,92.2961083722
SAEI4,2002-02-12 08:37:00-06,1479298,89.8262918809
SAFI4,2002-02-12 08:37:00-06,1469237,89.2153653991
SAGI4,2004-02-25 12:47:00-06,561340,97.3411274674
SAKI4,2002-02-12 08:37:00-06,1496628,90.8786083434
SALI4,2002-04-23 17:39:00-05,1404509,90.8772624541
SAMI4,2002-03-27 10:28:00-06,1446183,91.2526533116
SATI4,2004-11-01 12:08:00-06,172758,79.7177821256
SAUI4,2002-02-12 08:37:00-06,1509839,91.680809889
SBDI4,2003-05-21 13:01:00-05,883461,90.1620539282
SBKI4,2002-06-19 14:53:00-05,1203451,82.2261334652
SBMI4,2003-12-15 16:53:00-06,628409,92.3985490518
SBOI4,2002-02-12 08:37:00-06,1520223,92.3113496551
SBRI4,2002-05-15 11:41:00-05,1271442,83.9690683862
SBZI4,2004-04-14 11:56:00-05,397420,78.5160540852
SCAI4,2002-02-12 08:36:00-06,1538895,93.445098625
SCBI4,2002-02-12 08:38:00-06,1427088,86.6560362196
SCDI4,2003-04-29 14:23:00-05,935278,92.4683896597
SCEI4,2004-05-10 13:41:00-05,452685,96.5997964231
SCGI4,2002-02-12 08:36:00-06,1216651,73.8777321956
SCHI4,2002-02-12 08:36:00-06,1484869,90.1645207439
SCNI4,2002-03-20 15:28:00-06,1455106,91.2525586482
SCOI4,2002-02-12 08:36:00-06,1381291,83.8750361297
SCSI4,2002-02-12 08:36:00-06,1520939,92.3547707008
SDRI4,2002-02-12 08:36:00-06,1475236,89.5795837371
SEGI4,2005-02-15 13:26:00-06,58610,91.5867112542
SFAI4,2002-02-12 15:43:00-06,1476894,89.7035198252
SFDI4,2004-04-10 00:00:00-05,501543,97.8353230337
SFOI4,2002-02-12 00:00:00-06,1493959,90.6880706099
SGLI4,2002-02-12 08:34:00-06,1421249,86.301269214
SGRI4,2002-02-12 08:38:00-06,1510069,91.6948316839
SHUI4,2002-02-12 08:33:00-06,1501486,91.1733755473
SIAI4,2003-02-12 11:54:00-06,967839,86.3335670436
SIFI4,2002-02-21 17:13:00-06,1497556,91.6852122028
SINI4,2002-02-12 08:37:00-06,1377156,83.6240005878
SJCI4,2004-10-04 12:30:00-05,243408,94.7075989261
SJEI4,2002-02-12 00:00:00-06,1555452,94.4208916084
SJWI4,2002-03-12 10:18:00-06,1303032,81.1139289676
SKCI4,2002-02-12 08:38:00-06,1514371,91.9560589298
SKNI4,2002-02-12 08:38:00-06,1532580,93.0617509148
SLEI4,2002-10-15 21:48:00-05,1193653,92.2985620745
SLMI4,2002-02-12 08:36:00-06,1388917,84.3381036698
SLOI4,2002-03-13 14:59:00-06,1384421,86.2728321351
SLUI4,2004-11-11 11:56:00-06,193007,95.395009984
SMAI4,2002-02-12 08:37:00-06,1461666,88.7556373012
SMDI4,2005-02-21 15:12:00-06,49497,89.5905734144
SMLI4,2002-04-15 14:41:00-05,1216843,78.1430632822
SMNI4,2002-02-12 00:00:00-06,1458297,88.5232736014
SMOI4,2002-03-11 16:12:00-06,1430062,88.9614235201
SMSI4,2003-02-06 13:41:00-06,1040775,92.1383099367
SMUI4,2003-09-29 10:46:00-05,638486,80.6827285892
SNEI4,2002-02-12 08:38:00-06,1504359,91.3481074687
SNVI4,2003-04-15 13:10:00-05,959519,93.0045847105
SOCI4,2004-05-10 11:29:00-05,456949,97.4822453712
SOGI4,2004-10-05 14:46:00-05,248843,97.4196857114
SOSI4,2002-02-12 00:00:00-06,1519599,92.2445002914
SPAI4,2002-02-12 08:37:00-06,1464142,88.9059855736
SPEI4,2002-02-12 00:00:00-06,1341686,81.4446144134
SPKI4,2004-05-07 14:53:00-05,460834,97.455309844
SPYI4,2002-11-26 15:27:00-06,1156276,93.7658181913
SROI4,2002-02-12 08:36:00-06,1463089,88.8419911054
SSUI4,2002-02-12 08:38:00-06,1465251,88.9733805672
SUNI4,2005-03-01 11:10:00-06,43672,99.3222651808
SWAI4,2002-04-29 12:15:00-05,1406230,91.4808562405
SWBI4,2002-02-12 08:37:00-06,1530876,92.9582237044
SWII4,2002-02-12 08:38:00-06,1485564,90.206832228
